"","X","일자","종가","대비","등락률","시가","고가","저가","거래량","거래대금","상장시가총액","미국금리","한국금리","월","연도"
"1",1,2009-01-02,1157.4,32.93,2.93,1132.87,1157.4,1118.84,340781,4043268,3919,0.25,2.5,1,2009
"2",2,2009-01-05,1173.57,16.17,1.4,1180.98,1185.22,1166.66,414760,5288645,3945,0.25,2.5,1,2009
"3",3,2009-01-06,1194.28,20.71,1.76,1183.52,1203.59,1179.94,444195,5608839,3973,0.25,2.5,1,2009
"4",4,2009-01-07,1228.17,33.89,2.84,1198.85,1228.56,1195.2,568556,7650757,4011,0.25,2.5,1,2009
"5",5,2009-01-08,1205.7,-22.47,-1.83,1212.7,1218.43,1195.15,472344,5826335,3987,0.25,2.5,1,2009
"6",6,2009-01-09,1180.96,-24.74,-2.05,1214.5,1220.59,1179.06,443544,5328417,3963,0.25,2.5,1,2009
"7",7,2009-01-12,1156.75,-24.21,-2.05,1170.69,1177.19,1150.41,352671,3896401,3922,0.25,2.5,1,2009
"8",8,2009-01-13,1167.71,10.96,0.95,1147.99,1168.04,1133.94,381507,4102261,3941,0.25,2.5,1,2009
"9",9,2009-01-14,1182.68,14.97,1.28,1161.01,1184.52,1151.8,358877,3963837,3966,0.25,2.5,1,2009
"10",10,2009-01-15,1111.34,-71.34,-6.03,1138.47,1145.41,1108.15,366485,4568785,3879,0.25,2.5,1,2009
"11",11,2009-01-16,1135.2,23.86,2.15,1120.69,1135.79,1109.69,335688,4084346,3906,0.25,2.5,1,2009
"12",12,2009-01-19,1150.65,15.45,1.36,1146.09,1159.88,1141.31,370319,4507861,3917,0.25,2.5,1,2009
"13",13,2009-01-20,1126.81,-23.84,-2.07,1136.16,1136.48,1115.07,319533,3804185,3897,0.25,2.5,1,2009
"14",14,2009-01-21,1103.61,-23.2,-2.06,1087.43,1118.4,1085.72,334556,4144997,3870,0.25,2.5,1,2009
"15",15,2009-01-22,1116.23,12.62,1.14,1125.22,1127.35,1106.74,346827,4281504,3883,0.25,2.5,1,2009
